Barcode	Description	UnitRRP	Category	CategoryID	CategoryFullNodeList
9770023716141	The Lady	150	689	::News/Mags::Magazines::Womens Interest::Womens Weeklies
9770023716158	The.Lady	180	689	::News/Mags::Magazines::Womens Interest::Womens Weeklies
9770023716165	The Lady	300	689	::News/Mags::Magazines::Womens Interest::Womens Weeklies
9770023716806	Lady (The)	200	689	::News/Mags::Magazines::Womens Interest::Womens Weeklies
9770023746094	Lancashire Life	325	498	::News/Mags::Magazines::Countryside & County::Regional
9770023746100	Lancashire Life	295	498	::News/Mags::Magazines::Countryside & County::Regional
9770023746117	Lancashire Life	299	498	::News/Mags::Magazines::Countryside & County::Regional
9770023746124	Lancashire Life	320	498	::News/Mags::Magazines::Countryside & County::Regional
9770023746995	Lancashire Life	320	498	::News/Mags::Magazines::Countryside & County::Regional
9770024071119	Leisure Painter	330	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071126	Leisure Painter	350	528	::News/Mags::Magazines::Leisure Interests::Art
9770024071133	Leisure Painter	370	528	::News/Mags::Magazines::Leisure Interests::Art
9770024371202	Lincolnshire Life	275	498	::News/Mags::Magazines::Countryside & County::Regional
9770024371219	Lincolnshire Life	290	498	::News/Mags::Magazines::Countryside & County::Regional
9770025192110	Management Today	490	672	::News/Mags::Magazines::Trade & Professional::Other Trades
9770025304032	Marieclair	340	501	::News/Mags::Magazines::Foreign Language::France
9770025365194	Marketing	340	660	::News/Mags::Magazines::Trade & Professional::Advertising & Media
9770025616098	Mayfair	325	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770025616104	Mayfair	350	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770025616111	Mayfair Magazine	380	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770025616142	Mayfair	430	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770025616159	Mayfair Mag	499	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770025616173	Maifair Dvd	599	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
9770025616906	Mayfair Magazine	499	572	::News/Mags::Magazines::Magazines: Adult::Top Shelf General
